month,mine_location,target_production,actual_production,equipment_available,equipment_utilization,downtime_hours,rainfall,temperature,soil_moisture,blast_count,blast_delay,mn_grade,ore_thickness,ore_depth,lithology
2021-01,MOIL-Mine-01,119651.32,107877.15,13,86.3,15.89,20.75,23.27,0.22,23,2.55,33.54,4.63,28.74,Manganese-bearing
2021-02,MOIL-Mine-01,121511.9,109206.82,12,84.64,18.31,26.35,25.01,0.191,29,2.84,35.07,4.6,31.89,Manganese-bearing
2021-03,MOIL-Mine-01,121184.73,107597.84,13,87.55,17.49,8.91,26.09,0.164,25,3.51,32.35,4.98,27.96,Manganese-bearing
2021-04,MOIL-Mine-01,124551.92,88152.19,11,86.12,26.03,52.77,36.28,0.333,31,5.76,33.9,4.32,30.1,Banded formation
2021-05,MOIL-Mine-01,124239.22,104753.17,11,79.76,15.3,3.64,34.73,0.21,26,2.32,35.23,4.72,31.94,Laterite
2021-06,MOIL-Mine-01,119691.91,66750.91,12,75.86,24.96,177.69,30.55,0.541,26,6.77,32.95,4.35,31.2,Manganese-bearing
2021-07,MOIL-Mine-01,123025.72,71138.71,13,70.74,28.72,127.46,29.0,0.425,32,7.03,34.83,4.8,31.16,Manganese-bearing
2021-08,MOIL-Mine-01,124944.79,68719.64,12,70.04,26.56,227.7,30.74,0.695,25,10.62,34.72,5.15,31.03,Manganese-bearing
2021-09,MOIL-Mine-01,120681.88,77598.12,11,69.57,32.14,81.7,29.4,0.376,26,5.95,35.73,5.0,34.71,Manganese-bearing
2021-10,MOIL-Mine-01,120631.91,93015.23,10,76.8,22.81,46.1,28.84,0.274,24,3.97,33.77,4.82,30.13,Banded formation
2021-11,MOIL-Mine-01,121508.13,104373.2,13,81.3,18.22,26.25,23.07,0.169,25,2.58,33.95,4.53,35.08,Manganese-bearing
2021-12,MOIL-Mine-01,123668.62,102100.75,12,82.31,20.34,24.78,23.08,0.241,28,3.32,34.26,4.64,32.29,Metamorphic
2022-01,MOIL-Mine-01,121592.48,98385.83,13,83.23,21.76,6.04,21.51,0.276,19,3.08,30.72,4.11,25.56,Banded formation
2022-02,MOIL-Mine-01,124592.52,98719.82,10,83.68,17.44,41.95,23.38,0.308,30,3.43,32.13,4.4,32.4,Manganese-bearing
2022-03,MOIL-Mine-01,122323.83,109963.42,13,82.73,13.62,20.02,29.17,0.245,29,2.47,34.46,4.7,32.51,Banded formation
2022-04,MOIL-Mine-01,125324.55,101653.04,12,78.66,21.69,20.09,33.65,0.231,17,2.55,32.05,4.79,35.57,Manganese-bearing
2022-05,MOIL-Mine-01,121600.7,105817.48,12,84.04,20.06,10.38,35.03,0.214,26,2.33,33.06,4.46,31.77,Manganese-bearing
2022-06,MOIL-Mine-01,121378.33,66758.08,11,66.92,17.66,192.94,30.35,0.589,28,9.31,33.14,3.96,33.02,Manganese-bearing
2022-07,MOIL-Mine-01,121329.62,85609.91,13,81.98,23.49,87.65,27.59,0.361,19,5.61,32.41,5.12,30.16,Manganese-bearing
2022-08,MOIL-Mine-01,121746.32,79444.09,12,84.56,30.49,56.98,29.12,0.291,27,4.77,34.69,4.66,27.42,Laterite
