elevation_m,slope_deg,ndvi,lst_celsius,rainfall_annual_mm,soil_moisture,clay_iron_ratio,ferrous_iron_index,latitude,longitude,dist_to_fault_km,standardized_lithology,mn_present,country
313.4,7.81,0.325,36.54,1014.0,0.202,3.14,1.95,21.065721,78.600219,4.06,Metamorphic_Schist,1,India
327.83,5.04,0.347,31.38,850.2,0.204,1.88,1.75,21.050904,79.076615,3.98,Metamorphic_Schist,0,India
429.74,6.57,0.481,33.86,857.7,0.358,2.3,2.33,21.570377,79.156089,1.54,Sedimentary_Mn_Oxide,1,India
442.63,7.5,0.41,35.81,1241.2,0.343,3.15,2.28,21.635902,80.011604,0.98,Metamorphic_Schist,0,India
354.69,7.97,0.269,36.93,1036.3,0.273,1.61,2.37,21.305792,78.562624,3.74,Metamorphic_Schist,0,India
392.47,5.09,0.234,31.45,1040.7,0.215,3.03,2.39,21.902809,79.571457,2.9,Metamorphic_Schist,0,India
451.08,2.88,0.326,29.36,1096.0,0.319,1.79,1.33,21.693124,79.664439,3.16,Sedimentary_Mn_Oxide,0,India
330.27,6.65,0.214,34.03,858.6,0.209,3.17,1.55,21.161698,79.161274,1.08,Metamorphic_Schist,0,India
424.89,6.97,0.248,34.68,1232.0,0.288,3.01,1.61,21.751986,79.968284,5.58,Metamorphic_Schist,0,India
358.46,6.65,0.234,34.03,858.6,0.256,2.78,1.3,21.273918,79.161405,5.73,Sedimentary_Mn_Oxide,0,India
417.06,7.84,0.201,36.61,1247.2,0.237,1.64,1.84,21.848073,80.166087,5.8,Metamorphic_Schist,0,India
392.94,6.71,0.297,34.13,990.1,0.203,3.0,2.47,21.954694,79.48561,3.26,Metamorphic_Schist,0,India
395.67,3.55,0.287,29.8,852.3,0.204,2.3,1.3,21.948016,79.01287,4.84,Metamorphic_Schist,0,India
376.24,5.41,0.363,31.89,850.8,0.309,2.29,1.65,21.371285,79.093756,3.69,Sedimentary_Mn_Oxide,0,India
320.11,7.85,0.25,36.64,887.9,0.202,3.19,2.11,21.121746,79.27205,3.47,Metamorphic_Schist,0,India
400.61,7.97,0.472,36.93,1036.0,0.346,2.45,1.72,21.457481,78.563247,5.78,Metamorphic_Schist,0,India
401.92,7.45,0.457,35.71,958.5,0.341,2.8,1.33,21.442254,79.42867,3.85,Sedimentary_Mn_Oxide,1,India
344.84,7.98,0.206,36.95,916.8,0.236,2.01,1.83,21.235155,79.344177,1.57,Sedimentary_Mn_Oxide,1,India
431.34,5.2,0.347,31.59,917.5,0.326,1.62,1.48,21.678759,78.781289,4.62,Metamorphic_Schist,0,India
427.51,7.84,0.499,36.62,887.4,0.358,2.47,1.68,21.511026,79.270482,1.32,Sedimentary_Mn_Oxide,0,India
345.34,4.91,0.2,31.2,1194.4,0.225,3.13,1.89,21.208997,79.855854,5.75,Sedimentary_Mn_Oxide,1,India
